"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Jul-2026","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","278.2380682","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","30-Jun-2026","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","278.5795536","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-May-2026","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","278.8445378","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","30-Apr-2026","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","279.175974","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Mar-2026","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","279.5112857","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","28-Feb-2026","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","279.8070073","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Jan-2026","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","280.1535223","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Dec-2025","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","280.5409602","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","30-Nov-2025","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","280.8729821","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Oct-2025","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","281.2675932","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
