"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Country-wise Workers' Remittances","31-Jul-2026","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3631.044564","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Jun-2026","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3474.556764","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-May-2026","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","4252.157161","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Apr-2026","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3537.025479","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Mar-2026","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3831.405102","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","28-Feb-2026","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3287.872847","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Jan-2026","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3464.468094","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3592.442722","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3188.337716","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3419.61361","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3184.123961","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3138.174787","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Jul-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3214.514462","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Jun-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3406.389361","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-May-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3685.588476","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Apr-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3176.93","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Mar-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","4053.579523","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","28-Feb-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3126.670931","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Jan-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3003.375873","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Dec-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3080.397524","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Nov-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2915.348668","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Oct-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3054.550962","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Sep-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2859.516117","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Aug-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2942.812184","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Jul-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2993.99974","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Jun-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3158.138862","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-May-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3242.226877","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Apr-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2813.267052","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Mar-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2953.980816","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","29-Feb-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2250.147228","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Jan-2024","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2397.870065","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Dec-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2381.853131","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Nov-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2258.544029","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Oct-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2463.117162","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Sep-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2208.130749","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Aug-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2094.507","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Jul-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2029.041389","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Jun-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2187.080838","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-May-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2102.666259","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Apr-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2198.302053","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Mar-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2536.682781","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","28-Feb-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","1990.345686","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Jan-2023","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","1900.087935","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Dec-2022","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2099.787498","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Nov-2022","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2173.036496","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Oct-2022","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2247.62424","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Sep-2022","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2487.225612","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Aug-2022","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","2815.673902","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
