date,cpi_yoy,remittances,pkr_usd
2016-07-31,3.17,1360.3,104.73875
2016-08-31,2.8,1767.7,104.622119
2016-09-30,3.23,1612.4,104.539576
2016-10-31,4.19,1561.0,104.598489
2016-11-30,4.69,1618.4,104.693531
2016-12-31,4.08,1585.4,104.72481
2017-01-31,4.53,1488.4,104.730126
2017-02-28,5.04,1417.1,104.720417
2017-03-31,6.14,1694.5,104.741682
2017-04-30,6.91,1538.9,104.7474
2017-05-31,6.36,1867.2,104.738087
2017-06-30,6.54,1840.3,104.770211
2017-07-31,3.86,1555.7,105.424984
2017-08-31,4.39,1975.0,105.307931
2017-09-30,4.66,1314.1,105.32069
2017-10-31,4.83,1677.0,105.33906
2017-11-30,5.03,1596.5,105.362649
2017-12-31,5.61,1745.8,108.697368
2018-01-31,5.24,1662.3,110.403041
2018-02-28,4.46,1473.1,110.434192
2018-03-31,3.59,1803.6,112.068851
2018-04-30,3.96,1678.9,115.421634
2018-05-31,4.98,1804.1,115.44688
2018-06-30,5.67,1627.7,118.905517
2018-07-31,6.66,1974.35,124.353414
2018-08-31,6.17,2083.08,123.789583
2018-09-30,5.42,1480.3,124.081628
2018-10-31,6.5,2052.55,130.383058
2018-11-30,5.66,1657.0,133.504122
2018-12-31,5.37,1740.54,138.471259
2019-01-31,5.55,1735.85,138.695078
2019-02-28,6.75,1573.68,138.530726
2019-03-31,8.64,1733.5,139.166346
2019-04-30,8.27,1770.17,141.164561
2019-05-31,8.42,2302.02,145.69225
2019-06-30,8.04,1636.37,155.249095
2019-07-31,8.38,2028.28,158.829694
2019-08-31,10.49,1683.95,158.077024
2019-09-30,11.38,1740.25,156.176407
2019-10-31,11.04,2001.22,155.949085
2019-11-30,12.67,1821.45,155.367457
2019-12-31,12.63,2097.07,154.920011
2020-01-31,14.56,1906.98,154.656144
2020-02-29,12.4,1824.83,154.263358
2020-03-31,10.24,1904.68,158.44718
2020-04-30,8.52,1785.1,164.437274
2020-05-31,8.23,1865.23,160.076694
2020-06-30,8.59,2473.27,165.103864
2020-07-31,9.3,2764.960828,166.762519
2020-08-31,8.21,2096.213734,167.706397
2020-09-30,9.03,2285.022573,165.854091
2020-10-31,8.91,2284.10714,162.799992
2020-11-30,8.35,2332.147257,159.21225
2020-12-31,7.98,2421.721535,160.079514
2021-01-31,5.7,2268.742601,160.153552
2021-02-28,8.7,2260.322735,159.131343
2021-03-31,9.1,2723.218474,156.029765
2021-04-30,11.1,2792.557929,153.076852
2021-05-31,10.86176628,2506.658351,153.29278
2021-06-30,9.655669291,2714.234446,156.163793
2021-07-31,8.405968385,2736.077681,159.601571
2021-08-31,8.353519783,2682.62743,164.099741
2021-09-30,8.979178716,2779.892769,168.05674
2021-10-31,9.2,2628.586368,171.694793
2021-11-30,11.5,2459.709253,173.025502
2021-12-31,12.28169814,2520.352433,177.176357
2022-01-31,12.96243597,2180.433945,176.310845
2022-02-28,12.24404221,2196.168428,175.482276
2022-03-31,12.7,2834.767043,179.617273
2022-04-30,13.37790337,3124.369515,184.481334
2022-05-31,13.8,2346.240221,195.500402
2022-06-30,21.3,2789.577806,204.367422
2022-07-31,24.9,2594.295739,219.437089
2022-08-31,27.3,2815.673902,220.886305
2022-09-30,23.2,2487.225612,230.4658621
2022-10-31,26.6,2247.62424,220.57243
2022-11-30,23.8,2173.036496,222.3104544
2022-12-31,24.5,2099.787498,224.762406
2023-01-31,27.6,1900.087935,234.1359524
2023-02-28,31.5,1990.345686,266.6764367
2023-03-31,35.4,2536.682781,280.2024795
2023-04-30,36.4,2198.302053,284.9456592
2023-05-31,38.0,2102.666259,285.4859718
2023-06-30,29.4,2187.080838,286.5840653
2023-07-31,28.3,2029.041389,281.007205
2023-08-31,27.4,2094.507,293.8080564
2023-09-30,31.4,2208.130749,297.7541724
2023-10-31,26.8,2463.117162,280.3567571
2023-11-30,29.2,2258.544029,285.5207225
2023-12-31,29.7,2381.853131,283.2960707
2024-01-31,28.3,2397.870065,280.3206113
2024-02-29,23.1,2250.147228,279.1816697
2024-03-31,20.7,2953.980816,278.7049655
2024-04-30,17.3,2813.267052,278.1424501
2024-05-31,11.8,3242.226877,278.2500821
2024-06-30,12.6,3158.138862,278.4387221
2024-07-31,11.1,2993.99974,278.3912397
2024-08-31,9.6,2942.812184,278.540312
2024-09-30,6.9,2859.516117,278.2436207
2024-10-31,7.2,3054.550962,277.6704048
2024-11-30,4.9,2915.348668,277.8093268
2024-12-31,4.1,3080.397524,278.1203612
2025-01-31,2.4,3003.375873,278.6442633
2025-02-28,1.5,3126.670931,279.304265
2025-03-31,0.7,4053.579523,280.0836116
2025-04-30,0.3,3176.93,281.6662931
2025-05-31,3.5,3685.588476,281.6662931
2025-06-30,3.2,3406.389361,283.0001359
2025-07-31,4.1,3214.514462,284.2132955
2025-08-31,3.1,3138.174787,282.2447321
2025-09-30,5.8,3184.123961,281.6472727
2025-10-31,6.2,3419.61361,281.2675932
2025-11-30,6.1,3188.337716,280.8729821
2025-12-31,5.6,3592.442722,280.5409602
2026-01-31,5.8,3464.468094,280.1535223
2026-02-28,7.0,3287.872847,279.8070073
2026-03-31,7.3,3831.405102,279.5112857
2026-04-30,10.9,3537.025479,279.175974
2026-05-31,11.7,4252.157161,278.8445378
2026-06-30,11.1,3474.556764,278.5795536
2026-07-31,9.2,3631.044564,278.2380682
